pp_id,pp,nd_id,fl_id,pt_id,set_def_pr,set_def_cain,set_def_ror,set_def_pp,set_def_st,set_def_hyrs,set_def_chp,set_def_add,set_def_rem,set_def_sll,set_def_curt,set_def_lin,set_def_scen,set_def_winsol,set_def_tr,set_def_peak
40,IT_GEO_ELC,4,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
41,CH_GEO_ELC,1,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
42,AT_WAS_ELC,0,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
43,CH_WAS_ELC,1,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
44,DE_WAS_ELC,2,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
45,FR_WAS_ELC,3,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
46,IT_WAS_ELC,4,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
47,AT_BAL_ELC,0,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
48,CH_BAL_ELC,1,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
49,DE_BAL_ELC,2,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
50,FR_BAL_ELC,3,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
51,IT_BAL_ELC,4,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
52,AT_OIL_LIN,0,13,14,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
53,CH_OIL_LIN,1,13,14,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
54,DE_OIL_LIN,2,13,14,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
55,FR_OIL_LIN,3,13,14,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
56,IT_OIL_LIN,4,13,14,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
57,DE_HYD_STO,2,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
58,AT_HYD_STO,0,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
59,IT_HYD_STO,4,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
60,CH_HYD_STO,1,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
61,FR_HYD_STO,3,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
62,AT_LOL_LIN,0,18,15,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
63,CH_LOL_LIN,1,18,15,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
64,DE_LOL_LIN,2,18,15,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
65,FR_LOL_LIN,3,18,15,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
66,IT_LOL_LIN,4,18,15,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
67,AT_DMND_FLEX,0,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
68,CH_DMND_FLEX,1,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
69,DE_DMND_FLEX,2,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
70,FR_DMND_FLEX,3,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
71,IT_DMND_FLEX,4,23,16,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
72,IND_RUR_PHO,5,8,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
73,IND_SUB_PHO,6,8,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
74,IND_URB_PHO,7,8,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
75,MFH_RUR_0_PHO,8,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
76,MFH_RUR_1_PHO,9,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
77,MFH_RUR_2_PHO,10,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
78,MFH_RUR_3_PHO,11,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
79,MFH_SUB_0_PHO,12,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
80,MFH_SUB_1_PHO,13,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
81,MFH_SUB_2_PHO,14,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
82,MFH_SUB_3_PHO,15,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
83,MFH_URB_0_PHO,16,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
84,MFH_URB_1_PHO,17,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
85,MFH_URB_2_PHO,18,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
86,MFH_URB_3_PHO,19,8,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
87,OCO_RUR_PHO,20,8,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
88,OCO_SUB_PHO,21,8,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
89,OCO_URB_PHO,22,8,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
90,SFH_RUR_0_PHO,23,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
91,SFH_RUR_1_PHO,24,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
92,SFH_RUR_2_PHO,25,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
93,SFH_RUR_3_PHO,26,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
94,SFH_SUB_0_PHO,27,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
95,SFH_SUB_1_PHO,28,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
96,SFH_SUB_2_PHO,29,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
97,SFH_SUB_3_PHO,30,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
98,SFH_URB_0_PHO,31,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
99,SFH_URB_1_PHO,32,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
100,SFH_URB_2_PHO,33,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
101,SFH_URB_3_PHO,34,8,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0
102,IND_RUR_STO_LI,5,19,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
103,IND_SUB_STO_LI,6,19,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
104,IND_URB_STO_LI,7,19,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
105,MFH_RUR_0_STO_LI,8,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
106,MFH_RUR_1_STO_LI,9,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
107,MFH_RUR_2_STO_LI,10,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
108,MFH_RUR_3_STO_LI,11,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
109,MFH_SUB_0_STO_LI,12,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
110,MFH_SUB_1_STO_LI,13,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
111,MFH_SUB_2_STO_LI,14,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
112,MFH_SUB_3_STO_LI,15,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
113,MFH_URB_0_STO_LI,16,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
114,MFH_URB_1_STO_LI,17,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
115,MFH_URB_2_STO_LI,18,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
116,MFH_URB_3_STO_LI,19,19,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
117,OCO_RUR_STO_LI,20,19,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
118,OCO_SUB_STO_LI,21,19,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
119,OCO_URB_STO_LI,22,19,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
120,SFH_RUR_0_STO_LI,23,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
121,SFH_RUR_1_STO_LI,24,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
122,SFH_RUR_2_STO_LI,25,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
123,SFH_RUR_3_STO_LI,26,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
124,SFH_SUB_0_STO_LI,27,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
125,SFH_SUB_1_STO_LI,28,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
126,SFH_SUB_2_STO_LI,29,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
127,SFH_SUB_3_STO_LI,30,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
128,SFH_URB_0_STO_LI,31,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
129,SFH_URB_1_STO_LI,32,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
130,SFH_URB_2_STO_LI,33,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
131,SFH_URB_3_STO_LI,34,19,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0
