pf_id,pf,primary_nd
72,demand_EL_SFH_URB_3,SFH_URB_3
73,demand_HT_AW_MFH_RUR_HT_0,MFH_RUR_HT_0
74,demand_HT_AW_MFH_RUR_HT_1,MFH_RUR_HT_1
75,demand_HT_AW_MFH_RUR_HT_2,MFH_RUR_HT_2
76,demand_HT_AW_MFH_RUR_HT_3,MFH_RUR_HT_3
77,demand_HT_AW_MFH_SUB_HT_0,MFH_SUB_HT_0
78,demand_HT_AW_MFH_SUB_HT_1,MFH_SUB_HT_1
79,demand_HT_AW_MFH_SUB_HT_2,MFH_SUB_HT_2
80,demand_HT_AW_MFH_SUB_HT_3,MFH_SUB_HT_3
81,demand_HT_AW_MFH_URB_HT_0,MFH_URB_HT_0
82,demand_HT_AW_MFH_URB_HT_1,MFH_URB_HT_1
83,demand_HT_AW_MFH_URB_HT_2,MFH_URB_HT_2
84,demand_HT_AW_MFH_URB_HT_3,MFH_URB_HT_3
85,demand_HT_AW_SFH_RUR_HT_0,SFH_RUR_HT_0
86,demand_HT_AW_SFH_RUR_HT_1,SFH_RUR_HT_1
87,demand_HT_AW_SFH_RUR_HT_2,SFH_RUR_HT_2
88,demand_HT_AW_SFH_RUR_HT_3,SFH_RUR_HT_3
89,demand_HT_AW_SFH_SUB_HT_0,SFH_SUB_HT_0
90,demand_HT_AW_SFH_SUB_HT_1,SFH_SUB_HT_1
91,demand_HT_AW_SFH_SUB_HT_2,SFH_SUB_HT_2
92,demand_HT_AW_SFH_SUB_HT_3,SFH_SUB_HT_3
93,demand_HT_AW_SFH_URB_HT_0,SFH_URB_HT_0
94,demand_HT_AW_SFH_URB_HT_1,SFH_URB_HT_1
95,demand_HT_AW_SFH_URB_HT_2,SFH_URB_HT_2
96,demand_HT_AW_SFH_URB_HT_3,SFH_URB_HT_3
97,demand_HT_WW_MFH_RUR_HT_0,MFH_RUR_HT_0
98,demand_HT_WW_MFH_RUR_HT_1,MFH_RUR_HT_1
99,demand_HT_WW_MFH_RUR_HT_2,MFH_RUR_HT_2
100,demand_HT_WW_MFH_RUR_HT_3,MFH_RUR_HT_3
101,demand_HT_WW_MFH_SUB_HT_0,MFH_SUB_HT_0
102,demand_HT_WW_MFH_SUB_HT_1,MFH_SUB_HT_1
103,demand_HT_WW_MFH_SUB_HT_2,MFH_SUB_HT_2
104,demand_HT_WW_MFH_SUB_HT_3,MFH_SUB_HT_3
105,demand_HT_WW_MFH_URB_HT_0,MFH_URB_HT_0
106,demand_HT_WW_MFH_URB_HT_1,MFH_URB_HT_1
107,demand_HT_WW_MFH_URB_HT_2,MFH_URB_HT_2
108,demand_HT_WW_MFH_URB_HT_3,MFH_URB_HT_3
109,demand_HT_WW_SFH_RUR_HT_0,SFH_RUR_HT_0
110,demand_HT_WW_SFH_RUR_HT_1,SFH_RUR_HT_1
111,demand_HT_WW_SFH_RUR_HT_2,SFH_RUR_HT_2
112,demand_HT_WW_SFH_RUR_HT_3,SFH_RUR_HT_3
113,demand_HT_WW_SFH_SUB_HT_0,SFH_SUB_HT_0
114,demand_HT_WW_SFH_SUB_HT_1,SFH_SUB_HT_1
115,demand_HT_WW_SFH_SUB_HT_2,SFH_SUB_HT_2
116,demand_HT_WW_SFH_SUB_HT_3,SFH_SUB_HT_3
117,demand_HT_WW_SFH_URB_HT_0,SFH_URB_HT_0
118,demand_HT_WW_SFH_URB_HT_1,SFH_URB_HT_1
119,demand_HT_WW_SFH_URB_HT_2,SFH_URB_HT_2
120,demand_HT_WW_SFH_URB_HT_3,SFH_URB_HT_3
121,demand_EL_MFH_RUR_HT_0,MFH_RUR_HT_0
122,demand_EL_MFH_RUR_HT_1,MFH_RUR_HT_1
123,demand_EL_MFH_RUR_HT_2,MFH_RUR_HT_2
124,demand_EL_MFH_RUR_HT_3,MFH_RUR_HT_3
125,demand_EL_MFH_SUB_HT_0,MFH_SUB_HT_0
126,demand_EL_MFH_SUB_HT_1,MFH_SUB_HT_1
127,demand_EL_MFH_SUB_HT_2,MFH_SUB_HT_2
128,demand_EL_MFH_SUB_HT_3,MFH_SUB_HT_3
129,demand_EL_MFH_URB_HT_0,MFH_URB_HT_0
130,demand_EL_MFH_URB_HT_1,MFH_URB_HT_1
131,demand_EL_MFH_URB_HT_2,MFH_URB_HT_2
132,demand_EL_MFH_URB_HT_3,MFH_URB_HT_3
133,demand_EL_SFH_RUR_HT_0,SFH_RUR_HT_0
134,demand_EL_SFH_RUR_HT_1,SFH_RUR_HT_1
135,demand_EL_SFH_RUR_HT_2,SFH_RUR_HT_2
136,demand_EL_SFH_RUR_HT_3,SFH_RUR_HT_3
137,demand_EL_SFH_SUB_HT_0,SFH_SUB_HT_0
138,demand_EL_SFH_SUB_HT_1,SFH_SUB_HT_1
139,demand_EL_SFH_SUB_HT_2,SFH_SUB_HT_2
140,demand_EL_SFH_SUB_HT_3,SFH_SUB_HT_3
141,demand_EL_SFH_URB_HT_0,SFH_URB_HT_0
142,demand_EL_SFH_URB_HT_1,SFH_URB_HT_1
143,demand_EL_SFH_URB_HT_2,SFH_URB_HT_2
144,demand_EL_SFH_URB_HT_3,SFH_URB_HT_3
145,cop_35_MFH_RUR_HT_0,MFH_RUR_HT_0
146,cop_35_MFH_RUR_HT_1,MFH_RUR_HT_1
147,cop_35_MFH_RUR_HT_2,MFH_RUR_HT_2
148,cop_35_MFH_RUR_HT_3,MFH_RUR_HT_3
149,cop_35_MFH_SUB_HT_0,MFH_SUB_HT_0
150,cop_35_MFH_SUB_HT_1,MFH_SUB_HT_1
151,cop_35_MFH_SUB_HT_2,MFH_SUB_HT_2
152,cop_35_MFH_SUB_HT_3,MFH_SUB_HT_3
153,cop_35_MFH_URB_HT_0,MFH_URB_HT_0
154,cop_35_MFH_URB_HT_1,MFH_URB_HT_1
155,cop_35_MFH_URB_HT_2,MFH_URB_HT_2
156,cop_35_MFH_URB_HT_3,MFH_URB_HT_3
157,cop_35_SFH_RUR_HT_0,SFH_RUR_HT_0
158,cop_35_SFH_RUR_HT_1,SFH_RUR_HT_1
159,cop_35_SFH_RUR_HT_2,SFH_RUR_HT_2
160,cop_35_SFH_RUR_HT_3,SFH_RUR_HT_3
161,cop_35_SFH_SUB_HT_0,SFH_SUB_HT_0
162,cop_35_SFH_SUB_HT_1,SFH_SUB_HT_1
163,cop_35_SFH_SUB_HT_2,SFH_SUB_HT_2
164,cop_35_SFH_SUB_HT_3,SFH_SUB_HT_3
165,cop_35_SFH_URB_HT_0,SFH_URB_HT_0
166,cop_35_SFH_URB_HT_1,SFH_URB_HT_1
167,cop_35_SFH_URB_HT_2,SFH_URB_HT_2
168,cop_35_SFH_URB_HT_3,SFH_URB_HT_3
